porosity,K_d_xx
0.24598930481283426, 0.0000056573525089239735
0.30695187165775406, 0.00009840821603254702
0.3647058823529412, 0.0003787888725756512
0.4, 0.0007673922724727351
0.5005347593582887, 0.0028605266158875714
0.5989304812834224, 0.009378328383241886
0.6139037433155081, 0.010662881050176251
0.7005347593582889, 0.027043054857172753
0.7165775401069518, 0.029776085018923284
0.8021390374331552, 0.08314968861436278
0.849197860962567, 0.14348100998713234
0.8748663101604279, 0.21088311685872876
0.9005347593582889, 0.3304941397433758
0.9272727272727275, 0.5702923697662174
0.9668449197860964, 1.9936621690522733
